Cluster ID,confidence_score,,Id,ln,dob,gn,fn,canonical_,canonical_fn,canonical_gn,canonical_Id,canonical_dob,canonical_ln
23,,0,1,SMITH JR,01/03/68,F,WILLIAM,,,,,,
24,,1,2,ROTHMEYER JR,01/03/68,F,WILLIAM,,,,,,
25,,2,3,ASBY JR,01/03/68,F,WILLIAM,,,,,,
26,,3,4,SALTER JR,01/03/68,F,WILLIAM,,,,,,
27,,4,5,SALTER JR,01/03/68,F,WILLIAM,,,,,,
28,,5,6,BLAND JR,21/02/62,F,WILLIAM,,,,,,
29,,6,7,BLAND JR,21/02/62,F,WILLIAM,,,,,,
30,,7,8,BLAND JR,21/02/62,F,WILLIAM,,,,,,
31,,8,9,SHAFFER JR,21/02/62,F,WILLIAM,,,,,,
32,,9,10,SHAFFER JR,21/02/62,F,WILLIAM,,,,,,
33,,10,11,BLAND III,21/02/62,F,WILLIAM,,,,,,
34,,11,12,BLAND JR,21/02/62,F,BILL,,,,,,
35,,12,13,BLAND,21/02/62,F,WILLIAM,,,,,,
36,,13,14,BLAND JR,21/02/62,F,WILLIAM,,,,,,
37,,14,15,BLAND JR,08/06/54,F,WILLIAM,,,,,,
38,,15,16,BLAND JR,08/06/54,F,WILLIAM,,,,,,
39,,16,17,BLAND JR,25/10/53,F,WILLIAM,,,,,,
40,,17,18,BLAND JR,25/10/53,F,WILLIAM,,,,,,
41,,18,19,SHAFFER JR,25/10/53,F,WILLIAM,,,,,,
42,,19,20,DUNCAN JR,25/10/53,F,THOMAS,,,,,,
43,,20,21,CARLSON JR,25/10/53,F,ROY,,,,,,
44,,21,22,CARLSON JR,25/10/53,F,RON,,,,,,
45,,22,23,DUNCAN JR,25/10/53,F,ROY,,,,,,
46,,23,24,MICHAELSON,25/10/53,M,ROY,,,,,,
47,,24,25,MICHAELSON JR,25/10/53,M,ROY,,,,,,
48,,25,26,MICHAELSON,25/10/53,M,ROY,,,,,,
49,,26,27,MICHAELSON JR,25/10/53,M,ROY,,,,,,
50,,27,28,MICHAELSON JR,01/05/51,M,ROY,,,,,,
51,,28,29,MICHAELSON JR,17/06/48,M,ROY,,,,,,
52,,29,30,MICHAELSON JR,17/06/48,M,ROY,,,,,,
53,,30,31,MICHAELSON JR,09/04/47,M,ROY,,,,,,
54,,31,32,MICHAELSON JR,09/04/47,M,ROBERT,,,,,,
55,,32,33,MICHAELSON JR,09/04/47,M,BOB,,,,,,
56,,33,34,MUSTAPHA JR,11/03/47,M,OWEN,,,,,,
57,,34,35,MUSTAPHA JR,11/03/47,M,OWAN,,,,,,
58,,35,36,HOUGHTON JR,31/01/46,M,LAWRENCE,,,,,,
59,,36,37,HOUGHTON JR,31/01/46,M,LAWRENCE,,,,,,
60,,37,38,HOUGHTON JR,31/01/46,M,LAWRENCE,,,,,,
61,,38,39,LIND JR,31/01/46,M,LAWRENCE,,,,,,
62,,39,40,LIND JR,31/01/46,M,LAWRENCE,,,,,,
63,,40,41,LIND JR,31/01/46,M,KENNETH,,,,,,
64,,41,42,LIND JR,31/01/46,M,KENNETH,,,,,,
65,,42,43,LIND JR,20/01/46,M,JOHN,,,,,,
66,,43,44,CAIN JR,20/01/46,M,JOHN,,,,,,
67,,44,45,CLARK,09/06/45,M,JOHN,,,,,,
68,,45,46,CLARK,09/02/45,M,RONALD,,,,,,
69,,46,47,CLARK,09/02/45,M,DONALD,,,,,,
70,,47,48,CLARK,16/12/44,M,JOHN,,,,,,
71,,48,49,CLARK JR,16/12/44,M,JOHN,,,,,,
72,,49,50,CLARK JR,16/12/44,M,JOHN,,,,,,
73,,50,51,MICHAELSON JR,16/12/44,M,JOHN,,,,,,
74,,51,52,MICHAELSON JR,16/12/44,M,JOHN,,,,,,
75,,52,53,MICHAELSON JR,16/12/44,M,JOHN,,,,,,
76,,53,54,MICHAELSON JR,24/04/40,M,JOHN,,,,,,
77,,54,55,MICHAELSON JR,24/04/40,M,JOHN,,,,,,
78,,55,56,MICHAELSON JR,24/06/39,M,JOHN,,,,,,
79,,56,57,MICHAELSON JR,24/06/39,M,JOHN,,,,,,
80,,57,58,MICHAELSON JR,24/06/39,M,JOHN,,,,,,
81,,58,59,MICHAELSON JR,24/06/39,M,JAMES,,,,,,
82,,59,60,MICHAELSON JR,24/06/39,M,JAMES,,,,,,
83,,60,61,MICHAELSON JR,24/06/39,M,JACK,,,,,,
84,,61,62,MICHAELSON JR,09/06/39,M,JACK,,,,,,
85,,62,63,LARSON JR,09/06/39,M,HAROLD,,,,,,
86,,63,64,LARSON JR,09/06/39,M,HAROLD,,,,,,
87,,64,65,MUSTAPHA JR,07/10/37,M,HAROLD,,,,,,
88,,65,66,HOUGHTON JR,07/10/37,M,HAROLD,,,,,,
89,,66,67,MELVIN JR,07/10/37,M,HAROLD,,,,,,
90,,67,68,MELVIN JR,07/10/37,M,HAROLD,,,,,,
