,Id,ln,dob,gn,fn
0,1,SMITH JR,01/03/68,F,WILLIAM
1,2,ROTHMEYER JR,01/03/68,F,WILLIAM
2,3,ASBY JR,01/03/68,F,WILLIAM
3,4,SALTER JR,01/03/68,F,WILLIAM
4,5,SALTER JR,01/03/68,F,WILLIAM
5,6,BLAND JR,21/02/62,F,WILLIAM
6,7,BLAND JR,21/02/62,F,WILLIAM
7,8,BLAND JR,21/02/62,F,WILLIAM
8,9,SHAFFER JR,21/02/62,F,WILLIAM
9,10,SHAFFER JR,21/02/62,F,WILLIAM
10,11,BLAND III,21/02/62,F,WILLIAM
11,12,BLAND JR,21/02/62,F,BILL
12,13,BLAND,21/02/62,F,WILLIAM
13,14,BLAND JR,21/02/62,F,WILLIAM
14,15,BLAND JR,08/06/54,F,WILLIAM
15,16,BLAND JR,08/06/54,F,WILLIAM
16,17,BLAND JR,25/10/53,F,WILLIAM
17,18,BLAND JR,25/10/53,F,WILLIAM
18,19,SHAFFER JR,25/10/53,F,WILLIAM
19,20,DUNCAN JR,25/10/53,F,THOMAS
20,21,CARLSON JR,25/10/53,F,ROY
21,22,CARLSON JR,25/10/53,F,RON
22,23,DUNCAN JR,25/10/53,F,ROY
23,24,MICHAELSON,25/10/53,M,ROY
24,25,MICHAELSON JR,25/10/53,M,ROY
25,26,MICHAELSON,25/10/53,M,ROY
26,27,MICHAELSON JR,25/10/53,M,ROY
27,28,MICHAELSON JR,01/05/51,M,ROY
28,29,MICHAELSON JR,17/06/48,M,ROY
29,30,MICHAELSON JR,17/06/48,M,ROY
30,31,MICHAELSON JR,09/04/47,M,ROY
31,32,MICHAELSON JR,09/04/47,M,ROBERT
32,33,MICHAELSON JR,09/04/47,M,BOB
33,34,MUSTAPHA JR,11/03/47,M,OWEN
34,35,MUSTAPHA JR,11/03/47,M,OWAN
35,36,HOUGHTON JR,31/01/46,M,LAWRENCE
36,37,HOUGHTON JR,31/01/46,M,LAWRENCE
37,38,HOUGHTON JR,31/01/46,M,LAWRENCE
38,39,LIND JR,31/01/46,M,LAWRENCE
39,40,LIND JR,31/01/46,M,LAWRENCE
40,41,LIND JR,31/01/46,M,KENNETH
41,42,LIND JR,31/01/46,M,KENNETH
42,43,LIND JR,20/01/46,M,JOHN
43,44,CAIN JR,20/01/46,M,JOHN
44,45,CLARK,09/06/45,M,JOHN
45,46,CLARK,09/02/45,M,RONALD
46,47,CLARK,09/02/45,M,DONALD
47,48,CLARK,16/12/44,M,JOHN
48,49,CLARK JR,16/12/44,M,JOHN
49,50,CLARK JR,16/12/44,M,JOHN
50,51,MICHAELSON JR,16/12/44,M,JOHN
51,52,MICHAELSON JR,16/12/44,M,JOHN
52,53,MICHAELSON JR,16/12/44,M,JOHN
53,54,MICHAELSON JR,24/04/40,M,JOHN
54,55,MICHAELSON JR,24/04/40,M,JOHN
55,56,MICHAELSON JR,24/06/39,M,JOHN
56,57,MICHAELSON JR,24/06/39,M,JOHN
57,58,MICHAELSON JR,24/06/39,M,JOHN
58,59,MICHAELSON JR,24/06/39,M,JAMES
59,60,MICHAELSON JR,24/06/39,M,JAMES
60,61,MICHAELSON JR,24/06/39,M,JACK
61,62,MICHAELSON JR,09/06/39,M,JACK
62,63,LARSON JR,09/06/39,M,HAROLD
63,64,LARSON JR,09/06/39,M,HAROLD
64,65,MUSTAPHA JR,07/10/37,M,HAROLD
65,66,HOUGHTON JR,07/10/37,M,HAROLD
66,67,MELVIN JR,07/10/37,M,HAROLD
67,68,MELVIN JR,07/10/37,M,HAROLD
68,69,MELVIN JR,07/10/37,M,HAROLD
69,70,MELVIN JR,07/10/37,M,HAROLD
70,71,MELVIN JR,07/10/37,M,HAROLD
71,72,MELVIN JR,07/10/37,M,HAROLD
72,73,MELVIN JR,07/10/37,M,HAROLD
73,74,MELVIN JR,07/10/37,M,HAROLD
74,75,MELVIN JR,07/10/37,M,HAROLD
75,76,CHAVAS JR,07/10/37,M,HAROLD
76,77,CHAVAS JR,07/10/37,M,HAROLD
77,78,CHAVAS JR,07/10/37,M,HAROLD
78,79,CHAVAS JR,07/10/37,M,HAROLD
79,80,MICHAELSON JR,07/10/37,M,HAROLD
80,81,MICHAELSON JR,07/10/37,M,HAROLD
81,82,SMITH JR,07/10/37,M,HAROLD
82,83,CHAVAS JR,07/10/37,M,HAROLD
83,84,CHAVAS JR,07/10/37,M,HAROLD
84,85,FAGEN JR,07/10/37,M,HAROLD
85,86,FAGEN JR,07/10/37,M,HAROLD
86,87,FAGEN JR,07/10/37,M,GEORGE
87,88,GRIFFIN JR,07/10/37,M,DARH
88,89,GRIFFIN JR,10/07/37,M,DARL
89,90,GRIFFIN JR,07/05/37,M,DARL
90,91,GRIFFIN JR,07/05/37,M,CLIFFORD
91,92,GRIFFIN JR,07/05/37,M,CLIFFORD
92,93,GRIFFIN JR,07/05/37,M,CLIFFORD
93,94,GRIFFIN JR,07/05/37,M,CLARENCE
94,95,HANNA,24/11/34,M,ADDISON J
95,96,HANNA,24/11/34,M,ADDISON JOHN
96,97,HANNA,24/11/34,M,ADDISON
97,98,HANNA,24/11/34,M,ADDISON
98,99,HANNA,24/11/34,M,ADDISON
99,100,GALETICH JR,15/10/32,M,ADDISON
100,101,FUNARO JONES,06/12/37,F,HARRIET
101,102,FUNARO J,06/12/37,F,HARRIET
102,103,FUNARO,06/12/37,F,HARRIET
