,Id,dob,gn,fn,ln
1,2,01/03/68,F,WILLIAM,ROTHMEYER JR
10,11,21/02/62,F,WILLIAM,BLAND III
100,101,06/12/37,F,HARRIET,FUNARO JONES
101,102,06/12/37,F,HARRIET,FUNARO J
11,12,21/02/62,F,BILL,BLAND JR
15,16,08/06/54,F,WILLIAM,BLAND JR
17,18,25/10/53,F,WILLIAM,BLAND JR
19,20,25/10/53,F,THOMAS,DUNCAN JR
2,3,01/03/68,F,WILLIAM,ASBY JR
20,21,25/10/53,F,ROY,CARLSON JR
21,22,25/10/53,F,RON,CARLSON JR
24,25,25/10/53,M,ROY,MICHAELSON JR
28,29,17/06/48,M,ROY,MICHAELSON JR
29,30,17/06/48,M,ROY,MICHAELSON JR
3,4,01/03/68,F,WILLIAM,SALTER JR
31,32,09/04/47,M,ROBERT,MICHAELSON JR
33,34,11/03/47,M,OWEN,MUSTAPHA JR
34,35,11/03/47,M,OWAN,MUSTAPHA JR
36,37,31/01/46,M,LAWRENCE,HOUGHTON JR
36,37,31/01/46,M,LAWRENCE,HOUGHTON JR
37,38,31/01/46,M,LAWRENCE,HOUGHTON JR
38,39,31/01/46,M,LAWRENCE,LIND JR
39,40,31/01/46,M,LAWRENCE,LIND JR
39,40,31/01/46,M,LAWRENCE,LIND JR
4,5,01/03/68,F,WILLIAM,SALTER JR
4,5,01/03/68,F,WILLIAM,SALTER JR
40,41,31/01/46,M,KENNETH,LIND JR
41,42,31/01/46,M,KENNETH,LIND JR
41,42,31/01/46,M,KENNETH,LIND JR
42,43,20/01/46,M,JOHN,LIND JR
43,44,20/01/46,M,JOHN,CAIN JR
44,45,09/06/45,M,JOHN,CLARK
45,46,09/02/45,M,RONALD,CLARK
46,47,09/02/45,M,DONALD,CLARK
48,49,16/12/44,M,JOHN,CLARK JR
5,6,21/02/62,F,WILLIAM,BLAND JR
51,52,16/12/44,M,JOHN,MICHAELSON JR
54,55,24/04/40,M,JOHN,MICHAELSON JR
56,57,24/06/39,M,JOHN,MICHAELSON JR
56,57,24/06/39,M,JOHN,MICHAELSON JR
57,58,24/06/39,M,JOHN,MICHAELSON JR
58,59,24/06/39,M,JAMES,MICHAELSON JR
59,60,24/06/39,M,JAMES,MICHAELSON JR
59,60,24/06/39,M,JAMES,MICHAELSON JR
60,61,24/06/39,M,JACK,MICHAELSON JR
61,62,09/06/39,M,JACK,MICHAELSON JR
62,63,09/06/39,M,HAROLD,LARSON JR
63,64,09/06/39,M,HAROLD,LARSON JR
65,66,07/10/37,M,HAROLD,HOUGHTON JR
66,67,07/10/37,M,HAROLD,MELVIN JR
67,68,07/10/37,M,HAROLD,MELVIN JR
76,77,07/10/37,M,HAROLD,CHAVAS JR
80,81,07/10/37,M,HAROLD,MICHAELSON JR
82,83,07/10/37,M,HAROLD,CHAVAS JR
85,86,07/10/37,M,HAROLD,FAGEN JR
87,88,07/10/37,M,DARH,GRIFFIN JR
88,89,10/07/37,M,DARL,GRIFFIN JR
89,90,07/05/37,M,DARL,GRIFFIN JR
90,91,07/05/37,M,CLIFFORD,GRIFFIN JR
91,92,07/05/37,M,CLIFFORD,GRIFFIN JR
94,95,24/11/34,M,ADDISON J,HANNA
95,96,24/11/34,M,ADDISON JOHN,HANNA
